"","Country","League","Season","Datetime","Home","Away","HG","AG","Res","HAGG","AAGG","AACG","HACG","HTP","ATP","TG","PH","PD","PA"
"141","USA","MLS",2012,2012-06-24,"Chicago Fire","Columbus Crew",2,1,"H","1.28571428571429","1","1","1.28571428571429","8","10","3","1.94","3.44","4.67"
"142","USA","MLS",2012,2012-06-24,"FC Dallas","Chivas USA",0,0,"D","1","0.733333333333333","1.2","1.625","17","13","0","1.85","3.66","4.79"
"143","USA","MLS",2012,2012-06-24,"Real Salt Lake","San Jose Earthquakes",1,2,"A","1.6875","1.93333333333333","1.2","1.0625","1","2","3","2.06","3.38","4.15"
"144","USA","MLS",2012,2012-06-24,"Los Angeles Galaxy","Vancouver Whitecaps",3,0,"H","1.26666666666667","1.2","1.06666666666667","1.53333333333333","14","6","3","1.76","3.67","5.53"
"145","USA","MLS",2012,2012-06-24,"Portland Timbers","Seattle Sounders",2,1,"H","0.923076923076923","1.2","0.933333333333333","1.23076923076923","16","7","3","2.7","3.33","2.86"
"146","USA","MLS",2012,2012-06-25,"New York Red Bulls","DC United",3,2,"H","1.86666666666667","1.8125","1.1875","1.46666666666667","5","3","5","2.14","3.7","3.53"
"147","USA","MLS",2012,2012-06-28,"Montreal Impact","Toronto FC",0,3,"A","1.5","1","2.15384615384615","1.625","15","19","3","1.85","3.68","4.84"
"148","USA","MLS",2012,2012-06-30,"Sporting Kansas City","Chicago Fire",0,1,"A","1.33333333333333","1.33333333333333","1.26666666666667","1","5","8","1","1.88","3.66","4.59"
"149","USA","MLS",2012,2012-07-01,"Toronto FC","New York Red Bulls",1,1,"D","1.14285714285714","1.9375","1.5","2","19","4","2","2.87","3.55","2.57"
"150","USA","MLS",2012,2012-07-01,"DC United","Montreal Impact",3,0,"H","1.82352941176471","1.41176470588235","1.70588235294118","1.29411764705882","3","15","3","1.63","4.26","5.88"
"151","USA","MLS",2012,2012-07-01,"New England Revolution","Seattle Sounders",2,2,"D","1.33333333333333","1.1875","1","1.33333333333333","14","8","4","2.23","3.32","3.68"
"152","USA","MLS",2012,2012-07-01,"Houston Dynamo","Philadelphia Union",2,1,"H","1.33333333333333","0.923076923076923","1.15384615384615","1.53333333333333","10","18","3","1.87","3.56","4.88"
"153","USA","MLS",2012,2012-07-01,"Colorado Rapids","Portland Timbers",3,0,"H","1.4","1","1.21428571428571","1.4","11","16","3","1.78","3.72","5.25"
"154","USA","MLS",2012,2012-07-01,"Columbus Crew","Real Salt Lake",2,0,"H","1","1.64705882352941","1.11764705882353","1.07142857142857","12","2","2","2.47","3.29","3.2"
"155","USA","MLS",2012,2012-07-01,"San Jose Earthquakes","Los Angeles Galaxy",4,3,"H","1.9375","1.375","1.4375","1.1875","1","9","7","2.29","3.57","3.27"
"156","USA","MLS",2012,2012-07-04,"Houston Dynamo","Chicago Fire",0,0,"D","1.375","1.3125","1.1875","1.5","9","6","0","2.17","3.49","3.64"
"157","USA","MLS",2012,2012-07-04,"Portland Timbers","San Jose Earthquakes",2,1,"H","0.933333333333333","2.05882352941176","1.29411764705882","1.33333333333333","16","1","3","3.1","3.5","2.43"
"158","USA","MLS",2012,2012-07-05,"Montreal Impact","Sporting Kansas City",1,3,"A","1.33333333333333","1.25","1","1.77777777777778","16","5","4","3.06","3.39","2.5"
"159","USA","MLS",2012,2012-07-05,"FC Dallas","Toronto FC",1,1,"D","0.941176470588235","1.13333333333333","1.93333333333333","1.52941176470588","17","19","2","1.99","3.6","4.13"
"160","USA","MLS",2012,2012-07-05,"Colorado Rapids","Vancouver Whitecaps",0,1,"A","1.5","1.125","1.1875","1.3125","10","8","1","1.71","3.84","5.7"
